position,person,personID,start,end
President,Süleyman Demirel,Q151729,1993-05-16,2000-05-16
President,Ahmet Necdet Sezer,Q165487,2000-05-16,2007-08-28
President,Abdullah Gül,Q42852,2007-08-28,2014-08-28
President,Recep Tayyip Erdoğan,Q39259,2014-08-28,
Vice President,Fuat Oktay,Q55437281,2018-07-10,
Prime Minister,Bülent Ecevit,Q192634,1999-05-28,2002-11-18
Prime Minister,Abdullah Gül,Q42852,2002-11-18,2003-03-14
Prime Minister,Recep Tayyip Erdoğan,Q39259,2003-03-14,2007-08-29
Prime Minister,Recep Tayyip Erdoğan,Q39259,2007-08-29,2011-07-06
Prime Minister,Recep Tayyip Erdoğan,Q39259,2011-07-06,2014-08-29
Prime Minister,Ahmet Davutoğlu,Q58198,2014-08-29,2015-08-28
Prime Minister,Ahmet Davutoğlu,Q58198,2015-08-28,2015-11-24
Prime Minister,Ahmet Davutoğlu,Q58198,2015-11-24,2016-05-24
Prime Minister,Binali Yıldırım,Q863496,2016-05-24,2018-07-09
Deputy Prime Minister,Mesut Yılmaz,Q366692,1999-05-28,2002-11-18
Deputy Prime Minister,Mehmet Ali Şahin,Q1396517,2002-11-18,2003-03-28
Deputy Prime Minister,Abdüllatif Şener,Q317853,2002-11-18,2007-08-29
Deputy Prime Minister,Abdullah Gül,Q42852,2003-03-28,2007-08-28
Deputy Prime Minister,Cemil Çiçek,Q202971,2007-08-28,2011-06-28
Deputy Prime Minister,Lütfi Elvan,Q6031129,2015-11-24,2016-05-24
Deputy Prime Minister,Fikri Işık,Q15431339,2016-05-24,2018-07-09
Deputy Prime Minister,Fikri Işık,Q15431339,2016-05-24,2018-07-10
Deputy Prime Minister,Hakan Çavuşoğlu,Q21526183,2016-05-24,2018-07-09
Deputy Prime Minister,Hakan Çavuşoğlu,Q21526183,2016-05-24,2018-07-10
Deputy Prime Minister,Bekir Bozdağ,Q4881622,2016-05-24,2018-07-09
Deputy Prime Minister,Bekir Bozdağ,Q4881622,2016-05-24,2018-07-10
Deputy Prime Minister,Veysi Kaynak,Q6040561,2016-05-24,2018-07-09
Deputy Prime Minister,Veysi Kaynak,Q6040561,2016-05-24,2018-07-10
Deputy Prime Minister,Nurettin Canikli,Q6046409,2016-05-24,2018-07-09
Deputy Prime Minister,Nurettin Canikli,Q6046409,2016-05-24,2018-07-10
Deputy Prime Minister,Yıldırım Tuğrul Türkeş,Q65498832,2016-05-24,2018-07-09
Deputy Prime Minister,Yıldırım Tuğrul Türkeş,Q65498832,2016-05-24,2018-07-10
Deputy Prime Minister,Recep Akdağ,Q713551,2016-05-24,2018-07-09
Deputy Prime Minister,Recep Akdağ,Q713551,2016-05-24,2018-07-10
Deputy Prime Minister,Numan Kurtulmuş,Q982397,2016-05-24,2018-07-09
Deputy Prime Minister,Numan Kurtulmuş,Q982397,2016-05-24,2018-07-10
Minister of Agriculture and Forestry,Bekir Pakdemirli,Q55439729,2018-07-10,2022-03-04
Minister of Agriculture and Forestry,Vahit Kirişçi,Q6042101,2022-03-04,
Minister of Culture and Tourism,Ertuğrul Günay,Q690376,2011-07-06,2013-01-24
Minister of Culture and Tourism,Ömer Çelik,Q297516,2013-01-24,2014-08-29
Minister of Culture and Tourism,Ömer Çelik,Q297516,2014-08-29,2015-08-28
Minister of Culture and Tourism,Nabi Avcı,Q12811068,2016-05-24,2017-07-19
Minister of Culture and Tourism,Numan Kurtulmuş,Q982397,2016-05-24,2018-07-09
Minister of Culture and Tourism,Numan Kurtulmuş,Q982397,2016-05-24,2018-07-10
Minister of Culture and Tourism,Mehmet Nuri Ersoy,Q55526162,2018-07-10,
Minister of Development,Lütfi Elvan,Q6031129,2016-05-24,2018-07-10
Minister of Energy and Natural Resources,Cumhur Ersümer,Q6065381,1999-05-29,2001-05-09
Minister of Energy and Natural Resources,Zeki Çakan,Q6064101,2001-05-09,2002-11-18
Minister of Energy and Natural Resources,Hilmi Güler,Q1917341,2002-11-18,2009-05-01
Minister of Energy and Natural Resources,Taner Yıldız,Q7682560,2011-07-06,2013-12-25
Minister of Energy and Natural Resources,Ali Rıza Alaboyun,Q6035094,2015-08-28,2015-11-24
Minister of Energy and Natural Resources,Berat Albayrak,Q6052158,2015-11-24,2018-07-10
Minister of Energy and Natural Resources,Berat Albayrak,Q6052158,2016-05-24,2018-07-09
Minister of Energy and Natural Resources,Berat Albayrak,Q6052158,2016-05-24,2018-07-10
Minister of Energy and Natural Resources,Fatih Dönmez,Q55456118,2018-07-10,
Minister of European Union Affairs,Egemen Bağış,Q956051,2011-07-06,2013-12-25
Minister of European Union Affairs,Mevlüt Çavuşoğlu,Q249206,2013-12-25,2014-08-29
Minister of European Union Affairs,Volkan Bozkır,Q7940222,2014-08-29,2015-08-28
Minister of European Union Affairs,Ali Haydar Konca,Q20476246,2015-08-28,2015-09-22
